,idx,channel_url,date,message,views,forwards,entities,tickers,sentiment,label
0,244,https://t.me/MarketDumki,2021-11-26 13:42:34+00:00,"А акции Новатэка так вообще смогли закрыть утренний гэп на открытии. Не видно совсем паники в акциях российских ""газовиков"".",21858.0,18.0,Новатэка,новатэк,Positive,1
1,426,https://t.me/MarketDumki,2021-09-07 07:22:01+00:00,"Объем торгов за первые 10 мин наглядно демонстрирует, где сейчас идет основная игра на рынке. Оборот в акциях Газпрома превышает совокупный оборот по всем акциям. Много покупают и много продают. Вчера уже пошло ускорение...",23144.0,137.0,Газпрома,газпром,Positive,1
2,434,https://t.me/MarketDumki,2021-08-27 20:59:11+00:00,"Итак, на этой неделе акции Газпрома наконец-то достигли отметки 300 руб. Доросли до 301 руб, после чего началась резкая коррекция и бумага опускалась в моменте до 293 руб. Кто-то просто решил фиксануться у круглой отметки. Но акции ""голубого гиганта"" по-прежнему остаются очень сильными, спрос пока чувствуется на любых просадках. Недельное закрытие на уровне 299.66 явное тому подтверждение. Если не произойдет какой-нибудь форс мажор на выходных, то есть все шансы на следующей неделе увидеть торговлю в акциях Газпрома выше 300 руб. Не в моменте, как это было на этой неделе, а полноценно. Судя по всему, рост еще не окончен в этих акциях.",28773.0,42.0,Газпрома,газпром,Positive,1
3,443,https://t.me/MarketDumki,2021-08-24 08:04:25+00:00,"​​Не один раз в этом году на всех уровнях я топил за 300 руб по Газпрому. Наконец-то сделали! В долгосрочной перспективе, конечно же, потенциал роста еще далеко не раскрыт в этих акциях. Но на данный момент риски коррекции уже достаточно высоки. На месячном графике это уже 10 месяц роста идет (см. график внизу). На недельном графике тоже весьма приличная перекупленность имеется. Непонятно, где будет поставлен локальный максимум, нельзя исключать, что бумага еще сможет подрасти на 5%, но потом все равно было бы неплохо уйти в хорошую коррекцию на 10-15%, куда-нибудь к 260-270 руб. А затем уже идти покорять исторический максимум на уровне 369 руб. Поход же прямо с этих уровней к 369 руб создаст просто адскую перекупленность. Хотя кто знает - ведь бычий рынок должен умереть в эйфории. Интересно, как это всё это будет разыграно.",22844.0,80.0,Газпрому,газпром,Positive,1
4,451,https://t.me/MarketDumki,2021-08-20 09:37:02+00:00,"Сегодня состоится последний визит в Москву Ангелы Меркель в качестве канцлера Германии. Конечно же, будет затронута тема Северного Потока-2. Поэтому теоретически возможно какое-то ""возбуждение"" (повышенная волатильность) в акциях Газпрома.",20453.0,6.0,Газпрома,газпром,Positive,1
5,458,https://t.me/MarketDumki,2021-08-17 16:02:38+00:00,"​​50 копеек не добили лиходеи до отметки 300 руб за одну акцию Газпрома (см. график внизу). После чего пошла легкая фиксация прибыли. С наскока 300 руб не взяли, но вряд ли это можно назвать слабостью, учитывая, что сегодня фьючерсы на американский рынок весь день в минусе. Да и весь российский рынок сегодня неприлично силён. Пока непонятно почему. Как бы это стадия не оказалась финальным аккордом...",22005.0,41.0,Газпрома,газпром,Negative,2
6,467,https://t.me/MarketDumki,2021-08-06 07:54:37+00:00,Очень неприятные продажи идут с открытия основной сессии в акциях Газпрома. Причем объемы очень серьезные. В моменте падение составляет больше 2%.,22963.0,68.0,Газпрома,газпром,Negative,2
7,489,https://t.me/MarketDumki,2021-07-13 07:52:21+00:00,"Сегодня последний день, когда акции Газпрома торгуются с дивидендами за прошлый год, которые составят 12.55 руб. Как и предполагал, бумаги встречают этот день на максимумах, вплотную приблизившись к отметке в 300 руб (https://t.me/MarketDumki/2576). Понятно, что завтра цена будет ниже из-за дивидендного гэпа, но пока все факторы за то, что закрытие этого ценового ""разрыва"" не растянется на годы. Уж очень сейчас благоприятная конъюнктура на рынках и для Газпрома в частности, принимая во внимание максимальные за много лет цены на газ в Европе (https://t.me/markettwits/144596). Если эти тенденции сохранятся до конца года, то дивиденды за 2021 год могут оказаться существенно выше чем за прошлый год. И это вполне может стать драйвером для того, чтобы акции Газпрома наконец-то смогли обновить исторический максимум 2008 года на уровне 369 руб. На данный момент такой сценарий выглядит вполне реалистичным.",24426.0,81.0,Газпрома,газпром,Positive,1
8,535,https://t.me/MarketDumki,2021-05-21 08:15:27+00:00,"Как-то неважно выглядит последние дни российский фондовый рынок. Индексы близки к своим максимумам, но многие бумаги уже прилично снизились. Некоторые другие бумаги уже давно перестали расти. И даже акции Газпрома наконец-то смогли выстрелить на этой неделе, а они, как правило, растут последними. Пока все выглядит так, как будто бы рост на российском рынке, который начался в начале ноября, выглядит завершенным. Это не означает, что прямо завтра будет сильный обвал. Просто новых драйверов для роста пока нет. А какие могут быть драйверы? Либо нужно, чтобы нефть рванула выше 70$ за баррель. Но учитывая потенциальное снятие санкций с Ирана (https://t.me/markettwits/138754), пока такой рывок выглядит маловероятным. Либо же нужен какой-то серьезный прорыв в американо-российских отношениях. Очень сомнительно, что такое возможно. Ну а если нет новых причин для роста, то вполне вероятно, что рынок может начать сползать вниз. Не удивлюсь, если произойдет коррекция в пределах 5-10% по индексам.",29219.0,81.0,Газпрома,газпром,Negative,2
9,541,https://t.me/MarketDumki,2021-05-18 18:28:17+00:00,"Акции Газпрома резко растут после выхода новостей о том, что администрация Байдена не планирует пока вводить санкции против Северного Потока-2. Вполне ожидаемо. В предыдущем посте как раз рассуждал о том, что никаких новых санкций не будет до саммита Байдена с Путиным.",25772.0,102.0,Газпрома,газпром,Positive,1
